City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,libreville,0.3925,9.4537,25.8,86,100,0.59,GA,1681093093
294,zary,51.6421,15.1373,6.3,92,84,0.45,PL,1681093093
295,martinez,38.0194,-122.1341,22.17,51,0,3.09,US,1681093093
296,tual,-5.6667,132.75,28.5,71,83,2.69,ID,1681093094
297,sinazongwe,-17.2614,27.4618,22.53,62,96,1.73,ZM,1681093094
298,severo-kurilsk,50.6789,156.125,0.29,97,100,9.76,RU,1681093094
299,vostok,46.4856,135.8833,12.66,33,67,2.13,RU,1681093094
300,astoria,46.1879,-123.8313,11.44,96,100,4.63,US,1681093095
301,poum,-20.2333,164.0167,26.6,69,0,2.01,NC,1681093095
302,ust-ishim,57.6935,71.1665,0.15,90,56,2.43,RU,1681093095
303,yenagoa,4.9247,6.2642,24.3,88,100,1.58,NG,1681093096
304,kupang,-10.1667,123.5833,26.32,94,100,6.17,ID,1681093096
305,ouadda,8.0777,22.4007,21.39,75,100,1.19,CF,1681093096
306,nikolayevsk-na-amure,53.1406,140.73,2.55,51,9,2.64,RU,1681093097
307,vao,-22.6667,167.4833,25.53,76,5,2.07,NC,1681093097
308,dunedin,-45.8742,170.5036,14.22,98,100,4.43,NZ,1681093097
309,mayumba,-3.432,10.6554,25.48,90,100,1.78,GA,1681093098
310,garowe,8.4054,48.4845,23.38,81,96,4.26,SO,1681093098
311,concarneau,47.875,-3.9225,12.44,97,100,5.12,FR,1681093098
312,perisani,45.3833,24.4,3.86,93,88,1.87,RO,1681093099
313,sao joao da barra,-21.6403,-41.0511,22.06,89,100,3.83,BR,1681093099
314,great yarmouth,52.6083,1.7305,11.14,82,100,7.93,GB,1681093099
315,namibe,-15.1961,12.1522,23.31,77,9,2.65,AO,1681093100
316,ahvaz,31.3203,48.6693,19.97,42,0,1.03,IR,1681093100
317,bandarbeyla,9.4942,50.8122,27.25,79,85,4.51,SO,1681093100
318,rwamagana,-1.9487,30.4347,16.69,97,89,1.09,RW,1681093101
319,genc,38.7507,40.5603,9.64,83,100,1.8,TR,1681093101
320,matagami,49.7502,-77.6328,5.06,38,0,5.14,CA,1681093101
321,port hedland,-20.3167,118.5667,35.03,26,81,2.57,AU,1681093102
322,ostersund,63.1792,14.6357,0.34,100,20,4.12,SE,1681093102
323,raudeberg,61.9875,5.1352,5.48,68,100,7.3,NO,1681093103
324,maumere,-8.6199,122.2111,27.72,74,100,1.71,ID,1681093103
325,vanavara,60.34,102.2797,-12.41,85,87,2.47,RU,1681093103
326,suffolk,40.8668,-72.7996,6.95,67,0,1.54,US,1681093104
327,tuatapere,-46.1333,167.6833,17.33,58,99,0.74,NZ,1681093104
328,saint-georges,12.0564,-61.7485,25.82,83,20,6.17,GD,1681093105
329,mindelo,16.8901,-24.9804,21.75,64,40,8.75,CV,1681093105
330,las cruces,32.3123,-106.7783,26.06,14,0,0.0,US,1681092963
331,sauteurs,12.2167,-61.6333,25.39,80,99,8.11,GD,1681093106
332,sovetskiy,61.3614,63.5842,-5.6,82,88,5.56,RU,1681093106
333,tahoua,14.8888,5.2692,29.05,12,100,5.85,NE,1681093106
334,college,64.8569,-147.8028,-10.79,56,75,5.14,US,1681093107
335,asnaes,55.8123,11.5013,4.19,80,96,4.98,DK,1681093107
336,gboko,7.3179,8.9951,25.03,72,100,2.99,NG,1681093108
337,bellevue,47.6104,-122.2007,12.9,91,100,5.66,US,1681092816
338,deniliquin,-35.5333,144.9667,16.89,45,39,5.42,AU,1681093109
339,katherine,-14.4667,132.2667,30.18,62,75,3.6,AU,1681093109
340,bonthe,7.5264,-12.505,26.25,81,100,0.93,SL,1681093109
341,batouri,4.4333,14.3667,21.36,86,100,1.22,CM,1681093110
342,vestmannaeyjar,63.4427,-20.2734,6.78,74,82,6.64,IS,1681093110
343,ishinomaki,38.4167,141.3,14.0,43,100,2.82,JP,1681093110
344,sompeta,18.9333,84.6,29.77,52,0,2.39,IN,1681093111
